"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"STAR",0,1.23708084359063,0.574,0.185,0,"0","STAR"
"ARID5B",0,1.22797032755776,0.752,0.312,0,"0","ARID5B"
"IQCG",0,0.940638818486935,0.483,0.158,0,"0","IQCG"
"ERRFI1",0,0.869956226251355,0.626,0.228,0,"0","ERRFI1"
"DCN",0,0.734500584323184,0.893,0.474,0,"0","DCN"
"EIF1B",0,0.677796786608333,0.645,0.363,0,"0","EIF1B"
"ST13",0,0.676297747912976,0.863,0.615,0,"0","ST13"
"HSPD1",0,0.639127007539523,0.888,0.667,0,"0","HSPD1"
"NPM1",0,0.628533632362501,0.976,0.896,0,"0","NPM1"
"HSPA5",0,0.60432534954821,0.672,0.531,0,"0","HSPA5"
"XBP1",0,0.591210421459206,0.53,0.263,0,"0","XBP1"
"RPS8",0,0.585518905523724,1,0.99,0,"0","RPS8"
"RPL7",0,0.565121136660772,1,0.996,0,"0","RPL7"
"DNAJB9",0,0.551487983620749,0.463,0.239,0,"0","DNAJB9"
"MEG3",0,0.537586291950225,0.53,0.245,0,"0","MEG3"
"CYCS",0,0.524323454353746,0.585,0.383,0,"0","CYCS"
"MORF4L2",0,0.514079138521212,0.665,0.469,0,"0","MORF4L2"
"RPL21",0,0.509715620033762,0.999,0.993,0,"0","RPL21"
"RPL36AL",0,0.507136736487712,0.752,0.556,0,"0","RPL36AL"
"RPL3",0,0.507091059240087,1,0.998,0,"0","RPL3"
"RPL15",0,0.50357941384208,1,0.997,0,"0","RPL15"
"YBX1",0,0.502755887660574,0.884,0.781,0,"0","YBX1"
"RPL10",0,0.502511358473827,1,0.999,0,"0","RPL10"
"HERPUD1",0,0.493382123872331,0.719,0.571,0,"0","HERPUD1"
"PTGES3",0,0.489377437668351,0.657,0.478,0,"0","PTGES3"
"GNL3",0,0.483781992778984,0.375,0.139,0,"0","GNL3"
"STK17A",0,0.477828652755043,0.34,0.115,0,"0","STK17A"
"EIF4E",0,0.46130232770931,0.43,0.2,0,"0","EIF4E"
"SELK",0,0.460532243028713,0.468,0.306,0,"0","SELK"
"FGF7",0,0.456038542358421,0.277,0.095,0,"0","FGF7"
"LUM",0,0.455361678493659,0.555,0.291,0,"0","LUM"
"RPL18",0,0.454312350123809,0.993,0.967,0,"0","RPL18"
"RPL23A",0,0.450800570276486,0.992,0.961,0,"0","RPL23A"
"RPL14",0,0.45014518017593,0.97,0.921,0,"0","RPL14"
"RPL35A",0,0.440490592929604,0.996,0.976,0,"0","RPL35A"
"CD63",0,0.439693227544633,0.702,0.602,0,"0","CD63"
"CNN3",0,0.439118086916289,0.565,0.394,0,"0","CNN3"
"RPL13A",0,0.437854773739637,1,0.999,0,"0","RPL13A"
"RSL1D1",0,0.437613887528595,0.557,0.349,0,"0","RSL1D1"
"RPL41",0,0.435222242401123,1,0.992,0,"0","RPL41"
"RPL8",0,0.435145321313559,0.996,0.985,0,"0","RPL8"
"RPS9",0,0.432417964107655,0.998,0.988,0,"0","RPS9"
